,flight_number,origin,dest
292,OH 5598,CAK,LGA
293,DL 1098,JFK,AUS
294,C5 4912,LGA,IAD
296,MQ 4023,GSO,LGA
297,OO 4059,LGA,RIC
299,UA 1051,EWR,EGE
300,9E 5350,JFK,IND
301,DL 1658,BOS,LGA
302,DL 1816,SLC,JFK
303,C5 4890,EWR,BUF
304,UA 2159,EWR,RDU
306,WN 6205,LGA,ATL
307,WN 684,DEN,LGA
308,UA 2418,EWR,SLC
309,DL 1526,JFK,TPA
310,DL 780,DFW,JFK
311,MQ 3374,LGA,DTW
312,DL 2816,LGA,ORD
313,9E 3386,RDU,JFK
314,WN 1381,FLL,EWR
315,YX 3520,MSP,EWR
316,AA 2141,BOS,LGA
317,9E 3428,MKE,LGA
318,OH 5162,LGA,PIT
319,DL 303,LGA,ORD
320,YX 4370,LGA,BNA
321,AA 321,JFK,DFW
323,AA 2693,EWR,ORD
324,YX 5915,LGA,DCA
325,UA 1944,EWR,AUS
326,UA 2317,EWR,AUS
327,WN 2296,ATL,LGA
328,B6 917,BOS,JFK
330,DL 546,LGA,ORD
331,F9 2881,LGA,MIA
332,G4 441,EWR,TYS
333,YX 5992,JFK,DCA
335,B6 2380,EWR,BOS
336,B6 28,MCO,EWR
337,WN 1169,LGA,STL
338,AA 2666,EWR,CLT
341,DL 2535,MSY,JFK
342,PT 4981,JFK,PHL
343,WN 1395,EWR,STL
344,YX 3497,EWR,MSP
345,MQ 4055,JFK,RDU
346,DL 1042,JFK,JAX
347,UA 2037,EWR,IAH
348,9E 5129,DTW,JFK
350,UA 1149,EWR,MCO
351,DL 1799,DFW,LGA
354,UA 2312,EWR,MCO
355,B6 54,PBI,JFK
356,B6 1701,JFK,FLL
357,DL 2324,JFK,FLL
358,WN 670,EWR,MDW
359,AS 411,JFK,LAX
360,YX 6008,IAH,LGA
361,DL 1888,ATL,JFK
362,AS 14,SEA,EWR
363,AS 331,EWR,LAX
364,UA 230,EWR,PHX
365,AA 129,ORD,LGA
366,B6 1990,SJU,EWR
367,9E 3494,LGA,BUF
368,DL 1409,ORD,LGA
369,AA 1746,LGA,CLT
371,AA 203,ATL,LGA
372,AA 2268,JFK,MIA
373,YX 5927,RDU,JFK
374,B6 24,LAX,JFK
375,9E 3323,PWM,LGA
376,DL 577,EWR,MSP
377,YX 4457,LGA,RIC
378,UA 2015,EWR,ORD
379,DL 1169,JFK,ATL
380,9E 3435,JAX,LGA
381,OO 3597,BNA,LGA
382,YX 6136,LGA,ROC
383,C5 4987,EWR,GSO
384,B6 1431,BOS,LGA
385,EV 4292,GRR,EWR
386,YX 4523,SDF,LGA
387,B6 615,JFK,SFO
388,NK 174,FLL,LGA
389,NK 917,LGA,DFW
390,UA 1460,EWR,SRQ
391,DL 2279,MCO,JFK
393,AA 588,ATL,LGA
394,DL 1908,LAX,JFK
395,B6 2516,JFK,SYR
396,WN 3684,LGA,BNA
397,DL 2175,JFK,MIA
398,DL 107,JFK,MSP
399,YX 4329,DCA,LGA
400,NK 712,IAH,EWR
401,B6 1973,EWR,TPA
403,UA 2333,EWR,RDU
404,YX 3429,EWR,PIT
405,UA 1976,PHX,EWR
406,YX 4412,CAE,LGA
407,B6 1099,LGA,MCO
408,9E 3347,JFK,RDU
409,9E 5266,LGA,MSY
410,YX 4442,PIT,LGA
411,UA 674,ATL,EWR
412,DL 1514,TPA,JFK
413,UA 1652,EWR,ATL
414,DL 2379,LGA,MCO
415,DL 1644,LGA,ORD
416,AA 1575,EWR,CLT
417,DL 370,JFK,DEN
418,DL 1310,MSP,JFK
419,DL 2654,CHS,JFK
420,B6 1262,PBI,LGA
421,DL 302,SJU,JFK
422,EV 3991,CLE,EWR
423,MQ 4134,LGA,SDF
424,B6 1190,MCO,JFK
425,YX 3614,CVG,EWR
426,YV 6053,LGA,IAD
427,AA 171,JFK,LAX
428,AA 598,LGA,CLT
429,AA 1187,LGA,DFW
430,AA 28,LAX,JFK
431,MQ 4137,RDU,LGA
432,WN 1494,TPA,LGA
433,AA 1263,DFW,LGA
434,DL 2456,FLL,JFK
435,UA 2335,FLL,EWR
436,YX 3558,EYW,EWR
437,B6 1331,BOS,LGA
438,UA 1867,IAH,EWR
439,DL 2262,LAX,JFK
440,OO 3854,LGA,RDU
441,YX 6018,LGA,BOS
442,YX 3626,JAX,EWR
443,DL 1992,LGA,ATL
444,UA 535,SFO,EWR
445,YX 3462,RDU,EWR
446,AA 1191,DFW,LGA
447,9E 3400,SAV,JFK
448,YX 6027,LGA,ORF
449,DL 2925,JFK,SAN
450,UA 996,EWR,DTW
451,YX 4445,JFK,DCA
452,9E 3459,JFK,SAV
453,9E 3386,MEM,LGA
454,DL 744,LGA,BOS
455,B6 1184,MCO,JFK
456,9E 5124,LGA,MKE
457,B6 1232,LGA,BOS
458,DL 1539,LGA,ATL
459,9E 5051,ROC,JFK
460,OO 3932,CHS,LGA
461,UA 1811,IAD,EWR
462,YX 4703,LGA,RIC
463,OO 3937,LGA,BNA
464,YX 4361,TYS,LGA
465,UA 1764,MCO,EWR
466,9E 3462,LGA,CVG
467,9E 3476,DFW,JFK
468,DL 2321,JFK,BOS
469,EV 4341,ROC,EWR
470,UA 1890,EWR,TPA
471,AA 288,LAS,JFK
472,DL 1436,LAX,JFK
473,DL 2858,ATL,LGA
474,9E 5363,CLT,LGA
475,UA 755,EWR,ORD
476,B6 789,JFK,MCO
477,OO 3993,LGA,CLT
478,AA 1923,LGA,CLT
479,EV 4213,EWR,RIC
480,DL 1900,ATL,JFK
481,DL 3051,PBI,LGA
482,UA 1002,EWR,IAH
483,UA 753,SFO,EWR
484,YX 4445,DCA,JFK
485,WN 4657,MDW,EWR
486,YX 5993,LGA,BOS
487,DL 2634,MCO,JFK
488,DL 2255,JFK,DEN
489,DL 1258,LAX,JFK
490,9E 5185,JFK,BWI
491,UA 1447,EWR,DFW
492,AA 238,LAX,JFK
493,MQ 4077,JFK,BNA
494,DL 1542,SEA,JFK
495,C5 4944,EWR,ALB
496,EV 4463,EWR,CHS
497,OH 5458,DCA,JFK
498,EV 4024,TYS,EWR
499,MQ 3943,CMH,LGA
500,9E 5022,DCA,JFK
501,B6 927,EWR,MCO
502,DL 2148,LGA,DTW
503,EV 4176,EWR,CHS
504,9E 5216,RDU,JFK
505,YX 5979,DCA,JFK
506,9E 5398,BGR,LGA
507,9E 5431,JFK,BUF
508,AA 367,ORD,LGA
509,EV 4421,EWR,BTV
510,YX 6065,LGA,IND
511,9E 5351,LGA,CLT
512,9E 5303,IAD,JFK
514,AA 519,LGA,ORD
515,B6 928,MCO,EWR
517,UA 577,SFO,EWR
518,YX 5966,DCA,LGA
519,EV 4381,EWR,MSN
520,9E 3358,RSW,LGA
521,G7 6274,EWR,DTW
522,EV 4037,BNA,EWR
523,MQ 3741,LGA,BGR
524,DL 2629,ATL,LGA
525,C5 4984,SYR,EWR
527,AA 337,LGA,ORD
528,DL 2952,LGA,DFW
529,AA 1011,DFW,LGA
531,B6 127,EWR,MCO
532,UA 2124,EWR,CLE
534,DL 2962,LGA,ATL
535,AA 3,JFK,LAX
536,DL 2588,TPA,LGA
538,OO 4001,ORF,LGA
540,B6 632,LGA,BOS
542,B6 89,JFK,SAN
544,UA 2417,PDX,EWR
545,OO 3961,LGA,BNA
546,C5 4914,MEM,EWR
547,DL 2413,ATL,EWR
548,F9 1260,MCO,EWR
549,9E 3483,LGA,RIC
550,UA 1702,EWR,LAX
551,9E 3291,BNA,JFK
552,UA 1750,EWR,ATL
553,9E 3314,ROC,LGA
554,DL 1006,IAH,LGA
555,UA 1611,EWR,ORD
556,WN 750,EWR,MCO
558,B6 1730,RSW,JFK
559,DL 2599,DTW,EWR
560,9E 3352,PWM,JFK
561,WN 3536,MDW,LGA
562,B6 136,PHX,JFK
563,AA 2115,LGA,DCA
564,NK 347,DTW,LGA
565,OO 3830,BNA,LGA
566,UA 363,EWR,HNL
567,AS 343,EWR,LAX
568,AA 222,LGA,ORD
570,OO 4690,GSO,LGA
571,DL 1414,TPA,LGA
572,YX 3695,PIT,EWR
573,B6 2883,JFK,MCO
574,UA 1167,LGA,IAH
575,YX 3487,EWR,CLT
576,9E 3476,LGA,ROC
577,AA 2392,LGA,MIA
578,DL 838,LGA,DTW
579,DL 2418,ATL,LGA
580,OO 3723,LGA,BNA
581,OO 2953,EWR,ORD
583,AA 1187,DFW,LGA
584,F9 1113,LGA,MCO
585,NK 1163,ATL,EWR
586,MQ 3550,LGA,ILM
587,UA 1183,EWR,RSW
588,9E 3430,SYR,JFK
589,UA 1176,MIA,EWR
591,C5 4918,EWR,SYR
593,UA 840,MIA,EWR
595,UA 1255,SFO,EWR
596,UA 583,EWR,SFO
597,DL 1391,CVG,LGA
598,DL 2209,JFK,PHX
599,UA 1741,ORD,LGA
600,DL 986,JFK,SLC
601,9E 5497,JFK,DFW
602,B6 289,JFK,MCO
603,AS 1407,JFK,LAX
604,OO 3929,JFK,DCA
605,OO 4268,ORD,LGA
606,G7 6200,DTW,EWR
607,DL 2503,JFK,SEA
608,C5 5006,EWR,CLE
610,B6 102,JFK,BUF
611,AS 546,LAX,EWR
612,C5 4966,MEM,EWR
613,AA 30,ORD,LGA
614,9E 3328,LGA,BNA
615,9E 5328,PIT,LGA
617,C5 5016,PVD,EWR
618,OH 5432,LGA,DAY
619,AA 2827,LGA,MIA
620,C5 4939,EWR,PQI
621,YX 5871,LGA,SDF
622,B6 205,EWR,FLL
623,UA 356,EWR,SAV
624,UA 1913,FLL,EWR
625,OO 3747,CLT,LGA
627,DL 1488,JFK,MSP
628,EV 4056,EWR,RIC
629,YX 3486,EWR,DCA
630,AA 835,ATL,LGA
631,UA 421,EWR,BOS
632,C5 4893,EWR,CMH
633,AS 11,EWR,SEA
635,DL 816,LAX,JFK
636,EV 4257,RIC,EWR
637,9E 4871,RDU,JFK
638,AA 1060,EWR,MIA
639,MQ 3441,JFK,CVG
640,UA 1274,DEN,LGA
641,G7 6228,DTW,EWR
642,DL 2448,EWR,ATL
643,YX 4466,LGA,CLE
645,MQ 3421,LGA,DTW
646,B6 746,PSE,JFK
647,DL 1085,JFK,LAX
648,AA 1039,RDU,LGA
649,9E 5101,ROC,JFK
650,AA 628,LGA,CLT
651,YX 3593,CVG,EWR
652,YX 4322,LGA,DCA
653,B6 601,JFK,FLL
654,AA 1221,CLT,EWR
656,DL 2893,SLC,EWR
657,9E 3287,JFK,DFW
658,AA 598,CLT,LGA
660,9E 3361,LGA,MYR
661,YX 3705,EWR,MCI
662,WN 1716,BNA,LGA
663,DL 329,LGA,ORD
664,DL 1950,MCO,LGA
665,WN 966,LGA,DAL
666,AA 1279,JFK,ORD
667,EV 4093,EWR,BGR
668,B6 2892,ACK,JFK
669,DL 2593,JFK,TPA
670,DL 2385,JFK,MIA
671,AA 2154,LGA,DCA
672,UA 1534,EWR,IAH
673,YX 6109,LGA,CMH
674,NK 875,EWR,CLT
675,OO 3577,LGA,OMA
676,DL 2057,LGA,ATL
677,B6 359,JFK,BUR
679,B6 1403,JFK,SJU
680,9E 4876,EWR,CVG
681,9E 3406,LGA,BHM
682,B6 675,JFK,MSY
683,YX 5869,LGA,RDU
684,AS 163,EWR,SFO
685,EV 4010,ALB,EWR
686,NK 140,MCO,EWR
687,YX 5898,LGA,SDF
688,NK 791,EWR,MYR
689,MQ 3616,CMH,LGA
690,YX 4506,XNA,LGA
691,UA 2165,BOS,EWR
692,B6 1202,FLL,JFK
693,OH 5480,LGA,DAY
694,B6 72,SLC,JFK
695,YX 4360,XNA,LGA
696,AA 952,JFK,PHX
697,AA 1278,JFK,BOS
698,UA 695,BOS,EWR
699,DL 1505,SLC,JFK
701,DL 2655,JFK,FLL
702,YX 4415,JFK,DCA
703,DL 2730,DTW,JFK
704,YX 5877,LGA,SRQ
705,C5 4949,EWR,ORF
706,C5 4952,EWR,IAD
707,UA 2143,EWR,SFO
708,DL 1713,EWR,ATL
709,EV 4027,IND,EWR
711,UA 1929,EWR,PHX
712,F9 419,LGA,ATL
714,OO 3692,LGA,RIC
715,AA 2423,DFW,JFK
716,OO 4023,LGA,CLT
718,DL 1878,ATL,EWR
719,B6 1677,JFK,JAX
720,OO 3725,SAV,LGA
721,F9 1510,ATL,LGA
722,UA 2010,LGA,ORD
723,UA 628,LGA,ORD
725,UA 602,EWR,SLC
726,EV 4011,GSO,EWR
727,UA 2057,EWR,SAT
728,WN 681,ATL,LGA
729,9E 5022,GSO,LGA
730,YX 4467,JFK,CMH
731,DL 2355,MSP,EWR
734,9E 3463,JFK,SYR
735,B6 272,FLL,LGA
736,B6 1715,JFK,SFO
737,EV 4360,EWR,CMH
738,UA 2001,EWR,ORD
739,UA 1162,BQN,EWR
740,WN 835,EWR,STL
741,OO 4181,BOS,JFK
742,9E 3399,SYR,JFK
743,DL 577,MSP,EWR
744,YX 4454,JFK,DCA
745,MQ 3787,IND,JFK
746,C5 5019,EWR,IAD
748,UA 2418,LAX,EWR
749,AA 1719,ATL,LGA
750,9E 5135,LGA,BGR
751,B6 167,JFK,OAK
752,YX 4500,LGA,MSP
753,9E 5507,JFK,SAV
754,B6 2018,JFK,BOS
755,DL 1309,ORD,LGA
756,YX 3586,PIT,EWR
757,YX 4393,ILM,LGA
758,AS 783,EWR,SJC
760,OO 3531,OMA,LGA
761,9E 5018,LGA,RDU
762,EV 4274,EWR,ORF
763,B6 1206,PDX,JFK
764,B6 485,ROC,JFK
765,UA 1165,LAX,EWR
766,C5 4883,BUF,EWR
767,AA 255,JFK,LAX
768,9E 5175,ORF,JFK
770,B6 426,TPA,JFK
771,DL 1995,JFK,IAH
772,EV 4063,EWR,PVD
773,EV 4302,LGA,CLE
775,WN 1937,STL,LGA
776,DL 2956,EWR,MSP
777,YX 3576,SDF,EWR
779,B6 130,RSW,JFK
780,YX 3700,EWR,SYR
781,YX 3609,PIT,EWR
783,C5 5005,SBN,EWR
784,C5 4925,EWR,BTV
786,UA 2047,BOS,EWR
789,YX 5891,DCA,LGA
790,MQ 3562,CLE,LGA
791,DL 2646,TPA,LGA
792,9E 3338,PWM,LGA
796,G7 6297,EWR,RDU
797,DL 2524,ATL,LGA
800,WN 276,LGA,DAL
801,C5 4965,IAD,EWR
802,AA 1580,PHX,EWR
803,YX 5958,DCA,LGA
804,MQ 3770,LGA,PIT
805,DL 2963,ATL,LGA
807,9E 3326,PIT,LGA
808,EV 4455,SAV,EWR
810,B6 685,ROC,JFK
811,DL 610,JFK,SFO
812,UA 674,CLE,EWR
813,UA 1483,EWR,SFO
814,UA 1583,LAS,EWR
815,B6 154,PBI,JFK
816,9E 5041,LGA,CLE
817,B6 1217,BOS,JFK
818,B6 676,JFK,ORH
819,B6 1205,JFK,PDX
820,YX 4535,IND,LGA
821,DL 1469,LGA,MIA
822,YX 3427,DCA,EWR
823,9E 5167,BUF,LGA
824,EV 3971,ORF,EWR
825,UA 700,BOS,EWR
826,AA 251,MIA,JFK
827,YX 3673,MSP,EWR
828,UA 1290,EWR,FLL
829,B6 703,JFK,SJU
830,B6 1503,JFK,SJU
831,OH 5170,LGA,ORF
832,YX 3548,MSY,EWR
833,YX 5888,CMH,JFK
834,DL 3104,EWR,SLC
835,YX 5925,LGA,MEM
836,UA 1649,EWR,RSW
837,9E 5376,LGA,CHO
838,UA 856,EWR,IAD
839,AA 2514,JFK,AUS
840,DL 1886,ATL,LGA
841,AA 1186,CLT,JFK
842,B6 2254,PBI,JFK
843,B6 1013,JFK,LGB
844,AA 1788,CLT,LGA
847,C5 5003,PWM,EWR
849,DL 1606,EWR,SLC
850,AA 1608,LGA,DFW
851,YX 5945,LGA,CLT
852,DL 1944,LGA,MSP
853,B6 1802,FLL,JFK
854,EV 4472,JAX,EWR
855,AA 310,LGA,MIA
856,YX 4491,BNA,LGA
858,C5 5024,PWM,EWR
859,9E 5419,BOS,JFK
860,YX 3523,EWR,MCI
861,DL 326,SJU,JFK
862,DL 183,JFK,SEA
864,DL 2937,LGA,ATL
865,UA 1534,RSW,EWR
866,B6 520,ATL,JFK
867,9E 3368,JFK,RIC
868,DL 1099,LGA,DFW
869,AA 292,LAX,JFK
870,AA 2161,LGA,BOS
871,UA 977,EWR,ORD
872,YX 3526,DTW,EWR
873,NK 792,MYR,EWR
875,WN 2072,EWR,BNA
879,YX 4546,PBI,LGA
881,B6 53,JFK,PBI
882,YX 6019,EWR,BOS
883,EV 4404,EWR,TYS
884,F9 1511,LGA,ATL
885,DL 1911,MSP,LGA
887,9E 5266,JFK,RDU
888,AS 1301,EWR,SFO
889,9E 5530,ORF,LGA
890,DL 1088,JFK,FLL
891,DL 473,JFK,LAX
892,YX 4510,LGA,CMH
893,YX 3503,EWR,DTW
894,UA 1523,EWR,SJU
895,AA 1782,CLT,LGA
896,NK 300,MYR,LGA
897,UA 1885,EWR,SFO
898,YX 5899,LGA,CMH
900,B6 27,EWR,MCO
901,WN 256,DEN,LGA
902,WN 445,LGA,DAL
904,AA 1049,EWR,ORD
905,9E 5248,BUF,LGA
906,YX 3409,DTW,EWR
907,UA 663,EWR,IAH
908,9E 5515,CLE,LGA
909,UA 743,TPA,EWR
910,AA 581,LGA,DFW
911,DL 2598,JFK,TPA
912,9E 5290,DCA,JFK
913,B6 1424,LAX,JFK
914,9E 3415,JFK,SAV
915,9E 5140,JFK,PIT
916,B6 574,TPA,EWR
918,WN 1166,LGA,BNA
919,UA 280,EWR,SEA
920,AA 2443,DFW,LGA
921,YX 4517,MIA,LGA
922,B6 1198,MCO,LGA
924,9E 5195,IAD,JFK
925,DL 585,ORD,LGA
926,9E 3359,LGA,MEM
927,YX 5946,LGA,DCA
928,C5 4947,EWR,DCA
929,MQ 4257,JFK,ORF
930,YX 3515,DCA,EWR
931,9E 3449,MHT,LGA
932,9E 3474,JFK,IAD
933,B6 864,JFK,HYA
934,EV 4283,ORD,LGA
935,NK 171,LGA,FLL
936,DL 797,JFK,AUS
937,AA 1862,LGA,CLT
940,OO 3580,EWR,MSP
941,9E 5072,DSM,LGA
942,B6 190,SAN,JFK
943,AA 1444,JFK,CLT
944,B6 1289,EWR,SJU
945,UA 904,AUS,EWR
946,9E 5015,BGR,LGA
948,UA 2321,EWR,BOS
949,YX 4576,STL,LGA
950,AS 647,JFK,SFO
951,9E 3333,SAV,LGA
952,C5 4993,EWR,IAD
953,EV 4072,LGA,CLE
954,OO 3608,LGA,MKE
955,DL 1702,LGA,FLL
956,AA 2716,DFW,LGA
957,9E 5100,JFK,JAX
958,WN 5562,LGA,ATL
959,DL 2822,MCO,JFK
962,EV 4016,EWR,CVG
963,B6 450,CLT,JFK
964,9E 3366,STL,LGA
965,9E 3466,JFK,BTV
966,NK 180,FLL,LGA
967,AS 407,JFK,LAX
968,AA 2669,LGA,MIA
969,DL 2571,JFK,SJU
973,DL 2409,JFK,SLC
